Infinitive,Partizip II,Hilfsverb
lieben,geliebt,haben
klieben,gekloben,haben
belfern,gebelfert,haben
chatten,gechattet,haben
wissen,gewusst,haben
schnabulieren,schnabuliert,haben
brechen,gebrochen,haben
abbrechen,abgebrochen,haben
anbrechen,angebrochen,haben
aufbrechen,aufgebrochen,sein
ausbrechen,ausgebrochen,haben
einbrechen,eingebrochen,sein
verbrechen,verbrochen,haben
zerbrechen,zerbrochen,haben
büffeln,gebüffelt,haben
oktroyieren,oktroyiert,haben
winken,gewinkt,haben
machen,gemacht,haben
schmeißen,geschmissen,haben
besinnen,besonnen,haben
untersuchen,untersucht,haben
kaufen,gekauft,haben
wohnen,gewohnt,haben
sehen,gesehen,haben
aalen,geaalt,haben
essen,gegessen,haben
trinken,getrunken,haben
gehen,gegangen,sein
wandeln,gewandelt,sein
lecken,geleckt,haben
ficken,gefickt,haben
intendieren,intendiert,haben
kochen,gekocht,haben
kiffen,gekifft,haben
sprechen,gesprochen,haben
delegieren,delegiert,haben
akzeptieren,akzeptiert,haben
stipulieren,stipuliert,haben
liegen,gelegen,haben
ausscheiden,ausgeschieden,haben
zocken,gezockt,haben
googeln,gegoogelt,haben
abbaumen,abgebaumt,haben
abschmieren,abgeschmiert,sein
ignorieren,ignoriert,haben
sparen,gespart,haben
fliegen,geflogen,sein
delektieren,delektiert,haben
schweigen,geschwiegen,haben
verstehen,verstanden,haben
hören,gehört,haben
lesen,gelesen,haben
akkumulieren,akkumuliert,haben
marodieren,marodiert,haben
schleifen,geschleift,haben
haben,gehabt,haben
können,gekonnt,haben
rasen,gerast,sein
fernsehen,ferngesehen,haben
produzieren,produziert,haben
arbeiten,gearbeitet,haben
denken,gedacht,haben
kriegen,gekriegt,haben
radebrechen,geradebrecht,haben
billigen,gebilligt,haben
sitzen,gesessen,haben
laufen,gelaufen,sein
schreiben,geschrieben,haben
verzweifeln,verzweifelt,sein
schlagen,geschlagen,haben
knuddeln,geknuddelt,haben
gucken,geguckt,haben
verlieren,verloren,haben
blasen,geblasen,haben
spulgen,gspulcht,haben
küssen,geküsst,haben
ausrichten,ausgerichtet,haben
interagieren,interagiert,haben
saturieren,saturiert,haben
lernen,gelernt,haben
retten,gerettet,haben
autorisieren,autorisiert,haben
paraphrasieren,paraphrasiert,haben
lehren,gelehrt,haben
poppen,gepoppt,haben
vögeln,gevögelt,haben
stehen,gestanden,haben
paaren,gepaart,haben
flügeln,geflügelt,haben
paddeln,gepaddelt,sein
paffen,gepafft,haben
ansagen,angesagt,haben
kuscheln,gekuschelt,haben
aasen,geaast,haben
ausreizen,ausgereizt,haben
töten,getötet,haben
sterben,gestorben,sein
paktieren,paktiert,haben
mauern,gemauert,haben
weinen,geweint,haben
pudern,gepudert,haben
pimpern,gepimpert,haben
dehnen,gedehnt,haben
sammeln,gesammelt,haben
krökeln,gekrökelt,haben
schnackseln,geschnackselt,haben
koitieren,koitiert,haben
schummeln,geschummelt,haben
amalgamieren,amalgamiert,haben
klauen,geklaut,haben
fressen,gefressen,haben
schmieren,geschmiert,haben
simsen,gesimst,haben
vermeinen,vermeint,haben
finishen,gefinisht,haben
sieben,gesiebt,haben
aufhören,aufgehört,haben
schenken,geschenkt,haben
reden,geredet,haben
packen,gepackt,haben
reizen,gereizt,haben
palavern,palavert,haben
kirren,gekirrt,haben
suchen,gesucht,haben
hindern,gehindert,haben
wollen,gewollt,haben
anstellen,angestellt,haben
schaffen,geschaffen,haben
lassen,gelassen,haben
aufstehen,aufgestanden,sein
unterhalten,unterhalten,haben
anbieten,angeboten,haben
schnüffeln,geschnüffelt,haben
abacheln,abgeachelt,haben
panieren,paniert,haben
entbehren,entbehrt,haben
schlafen,geschlafen,haben
panschen,gepanscht,haben
anschneien,angeschneit,haben
parken,geparkt,haben
quacksalbern,gequacksalbert,haben
quaken,gequakt,haben
kremieren,kremiert,haben
bekommen,bekommen,haben
zwirnen,gezwirnt,haben
checken,gecheckt,haben
kujonieren,kujoniert,haben
träumen,geträumt,haben
regredieren,regrediert,haben
despektieren,despektiert,haben
flöten,geflötet,haben
avisieren,avisiert,haben
profilieren,profiliert,haben
geben,gegeben,haben
mausen,gemaust,haben
bürsten,gebürstet,haben
jähren,gejährt,haben
verkuppeln,verkuppelt,haben
ziehen,gezogen,haben
lachen,gelacht,haben
bekriegen,bekriegt,haben
erregen,erregt,haben
antreten,angetreten,haben
promovieren,promoviert,haben
zunehmen,zugenommen,haben
abnehmen,abgenommen,haben
kriechen,gekrochen,sein
zeichnen,gezeichnet,haben
